blocks_size,density,velocity
128,0.19,0.8973708920187792
128,0.2,0.8803860350661336
128,0.21,0.8691562911967188
128,0.22,0.8550517337807606
128,0.23,0.8524608800320983
128,0.24,0.8371673929761598
128,0.25,0.8214862204724409
128,0.26,0.8156145747072046
128,0.27,0.7987593984962404
128,0.28,0.7906217730418544
128,0.29,0.7766546457361052
128,0.3,0.764142315185071
128,0.31,0.7546487398293311
128,0.32,0.7500615207151783
128,0.33,0.737191461595824
128,0.34,0.7261371449249142
128,0.35,0.7159811934264873
128,0.36,0.7127973342447028
128,0.37,0.7010541192119045
128,0.38,0.6845977011494253
128,0.39,0.6794983831532457
128,0.4,0.6628806521070438
128,0.41,0.6532072923700203
128,0.42,0.6375818381545221
128,0.43,0.6348261802575108
128,0.44,0.6191576371897939
128,0.45,0.6105311004784688
128,0.46,0.6065061852223337
128,0.47,0.5906917539267016
128,0.48,0.5863774431272029
128,0.49,0.5756949152542372
128,0.5,0.5625885826771654
128,0.51,0.5523490742416018
128,0.52,0.5485827516857921
128,0.53,0.5331106726249203
128,0.54,0.5277848029163819
128,0.55,0.5137011352832616
128,0.56,0.5098072064154675
128,0.57,0.4987448060007555
128,0.58,0.4880711709800595
128,0.59,0.4788802001876759
128,0.6,0.46880401907007735
128,0.61,0.4568455022186366
128,0.62,0.4531502703775363
128,0.63,0.4401513524069916
128,0.64,0.4282986494929591
128,0.65,0.42151760363429863
128,0.66,0.41190054527659975
128,0.67,0.404713767616949
128,0.68,0.39096797539352274
128,0.69,0.3813756519413365
128,0.7,0.3725415238597416
128,0.71,0.36385305202963214
128,0.72,0.3540366541353384
128,0.73,0.35053090633295414
128,0.74,0.33679067254135847
128,0.75,0.328939468503937
128,0.76,0.31722368367801207
128,0.77,0.3093412958376608
128,0.78,0.30307859142710675
128,0.79,0.29135882261330015
128,0.8,0.28080203006651544
128,0.81,0.27505885926938556
128,0.82,0.26292396564012155
128,0.83,0.25470501037651944
128,0.84,0.24471072867081656
128,0.85,0.22880911887099692
128,0.86,0.22203612303290415
128,0.87,0.2090984620823758
128,0.88,0.20079272981475008
128,0.89,0.18556488681527564
128,0.9,0.17371086807928918
128,0.91,0.15883623457833365
128,0.92,0.14411219952525828
128,0.93,0.12717257573753138
128,0.94,0.10965249828212427
256,0.05,0.9963786764705883
256,0.06,0.9953013278855976
256,0.07,0.9938520463996499
256,0.08,0.9917732669475298
256,0.09,0.9906757446808512
256,0.1,0.9885431985294117
256,0.11,0.9847116991643453
256,0.12,0.9825494701902209
256,0.13,0.9798373792128211
256,0.14,0.9761407156143999
256,0.15,0.9708220996732027
256,0.16,0.9679615090003828
256,0.17,0.9608128322970171
256,0.18,0.9516706382978726
256,0.19,0.9500177376441182
256,0.2,0.9466191789215688
256,0.21,0.9397993872191421
256,0.22,0.9337427755727316
256,0.23,0.9284001598508059
256,0.24,0.9206644539477883
256,0.25,0.9123737745098041
256,0.26,0.9098886401131275
256,0.27,0.9014587234042553
256,0.28,0.8965827771090928
256,0.29,0.8923200042258729
256,0.3,0.8851919934640522
256,0.31,0.8847400672069581
256,0.32,0.8782564986356455
256,0.33,0.8691240367653887
256,0.34,0.866971840504618
256,0.35,0.8552897408963586
256,0.36,0.8565004255319149
256,0.37,0.84749306504368
256,0.38,0.8376912843666855
256,0.39,0.8320397501865746
256,0.4,0.8240870098039217
256,0.41,0.8209826632790316
256,0.42,0.8118036254878362
256,0.43,0.8029971499821875
256,0.44,0.7943682762942589
256,0.45,0.7924622140522873
256,0.46,0.7833728520047955
256,0.47,0.7777383396890585
256,0.48,0.768639816174124
256,0.49,0.7606049332541341
256,0.5,0.7525713848039216
256,0.51,0.7496948215787576
256,0.52,0.7375566357342759
256,0.53,0.7277192323255681
256,0.54,0.7197739071232021
256,0.55,0.7069242981283423
256,0.56,0.701707243680928
256,0.57,0.686745948560832
256,0.58,0.6774224816438644
256,0.59,0.6684364533298713
256,0.6,0.6594161049836602
256,0.61,0.6416880964339527
256,0.62,0.6275092036666421
256,0.63,0.6190820891893207
256,0.64,0.6039802293018023
256,0.65,0.5929652149321267
256,0.66,0.5721748212793613
256,0.67,0.5562695200859684
256,0.68,0.5456936246902456
256,0.69,0.5292640365872612
256,0.7,0.5165751925770309
256,0.71,0.5014867955467334
256,0.72,0.4824131401459543
256,0.73,0.4688540311411424
256,0.74,0.4538822530896144
256,0.75,0.4403325163398693
256,0.76,0.42590703861968876
256,0.77,0.40682940415796276
256,0.78,0.39115440512196065
256,0.79,0.3738095053421497
256,0.8,0.3586255361519608
256,0.81,0.3417117406762992
256,0.82,0.325828803078705
256,0.83,0.3096690782916836
256,0.84,0.293464757910094
256,0.85,0.2781832107843137
256,0.86,0.26169362308514427
256,0.87,0.2445924673815435
256,0.88,0.22710423702259516
256,0.89,0.21144098865729188
256,0.9,0.19255718954248363
256,0.91,0.17472611271968216
256,0.92,0.15603659856469687
256,0.93,0.1362847965738758
256,0.94,0.11690448641689617
