speed_percentage,density,velocity,std,std_error,ci_lower,ci_upper,n_samples,normality_p_value
50,0.7,0.026765489058792516,0.012892190677231935,0.002578438135446387,0.021443854299797883,0.03208712381778715,25,0.2810243036505585
75,0.7,0.03223208322348185,0.0215207809644535,0.0043041561928907,0.023348741447952397,0.04111542499901131,25,0.003451890160030452
100,0.7,0.03548644432726953,0.02186023305049644,0.004372046610099288,0.026462983617314945,0.044509905037224115,25,0.025016590336076807
50,0.75,0.02322293307086614,0.009694089920982541,0.0019388179841965084,0.019221409422024428,0.027224456719707853,25,0.055942991287155984
75,0.75,0.017138174622703412,0.010412751990635537,0.0020825503981271075,0.012840001851491013,0.02143634739391581,25,0.00017421390080787677
100,0.75,0.01491227854330709,0.006576114855161199,0.0013152229710322399,0.012197791745173518,0.017626765341440663,25,0.058240128853531074
50,0.8,0.01690960821254181,0.007252087476639557,0.0014504174953279114,0.013916093630174417,0.019903122794909203,25,0.042752270044005926
75,0.8,0.01553108539351763,0.009139240691737544,0.0018278481383475088,0.01175859224990775,0.01930357853712751,25,7.488776903863227e-05
100,0.8,0.01781790918528202,0.007415920006020137,0.0014831840012040274,0.014756767858567334,0.020879050511996705,25,0.08358753111891816
50,0.85,0.013284530486701647,0.004207034951140841,0.0008414069902281682,0.011547951809825967,0.015021109163577327,25,0.028580797597449758
75,0.85,0.012607843314637235,0.003931388743467537,0.0007862777486935073,0.010985045800068587,0.014230640829205884,25,0.005502420357276074
100,0.85,0.012700298534467162,0.004852752726083487,0.0009705505452166973,0.010697180660207129,0.014703416408727195,25,3.653903289954591e-05
50,0.9,0.01054278024606972,0.003013840402391194,0.0006027680804782388,0.009298728071775399,0.011786832420364041,25,0.03327198067415978
75,0.9,0.011678024606971975,0.0031199079702305004,0.0006239815940461001,0.01039018989253787,0.01296585932140608,25,0.3001789392769197
100,0.9,0.010911534518113464,0.0026313432917913788,0.0005262686583582758,0.00982536939109791,0.011997699645129018,25,0.1540110519915878
50,0.95,0.008706655118824062,0.002127223259270259,0.00042544465185405183,0.00782858051381015,0.009584729723837974,25,0.0022682068952833484
75,0.95,0.008711244576830927,0.0021657806480086268,0.00043315612960172537,0.007817254263985565,0.009605234889676288,25,0.0013482055435973632
100,0.95,0.008231205076733795,0.0022416511927146397,0.00044833023854292796,0.007305896942270698,0.009156513211196891,25,4.980402019754436e-05
